epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2704.99,1.06182,0.47667,0.00609,0.98918,0.96451,0.98989,0.77713,0.87518,0.28304,0.00668,0.00074864,0.00074864,0.00074864
81,2734.39,1.06316,0.46101,0.00579,0.99321,0.95833,0.99167,0.76943,0.93627,0.31043,0.00769,0.0007328,0.0007328,0.0007328
82,2763.87,1.0474,0.43353,0.00546,0.98005,0.9784,0.9916,0.77324,0.87615,0.296,0.0067,0.00071696,0.00071696,0.00071696
83,2792.78,1.06739,0.46928,0.0059,0.98258,0.97377,0.9929,0.79004,0.83707,0.27561,0.00654,0.00070112,0.00070112,0.00070112
84,2822.55,1.11221,0.51101,0.00622,0.98684,0.97068,0.98995,0.78821,0.86047,0.28806,0.00681,0.00068528,0.00068528,0.00068528
85,2851.45,1.05282,0.46145,0.00608,0.97233,0.97595,0.98816,0.78176,0.87926,0.2917,0.0071,0.00066944,0.00066944,0.00066944
86,2880.55,1.00503,0.43709,0.0057,0.98584,0.96685,0.99107,0.78374,0.84328,0.28659,0.00644,0.0006536,0.0006536,0.0006536
87,2909.35,0.9943,0.42338,0.00533,0.98159,0.96759,0.98929,0.79048,0.84776,0.2966,0.0065,0.00063776,0.00063776,0.00063776
88,2937.96,0.98921,0.41477,0.00512,0.99665,0.96451,0.9884,0.79135,0.88229,0.28464,0.00695,0.00062192,0.00062192,0.00062192
89,2967.43,1.00152,0.43648,0.00545,0.99047,0.962,0.98801,0.79061,0.83891,0.28335,0.00659,0.00060608,0.00060608,0.00060608
90,2996.95,1.00797,0.44542,0.00558,0.98426,0.9652,0.98826,0.79305,0.84293,0.28956,0.00676,0.00059024,0.00059024,0.00059024
91,3026.38,0.99749,0.42373,0.00537,0.9885,0.96296,0.98966,0.7814,0.85905,0.30077,0.00668,0.0005744,0.0005744,0.0005744
92,3055.57,1.02844,0.44936,0.00589,0.99388,0.96296,0.99168,0.78397,0.83975,0.28205,0.00645,0.00055856,0.00055856,0.00055856
93,3084.59,0.99928,0.4295,0.00514,0.98266,0.97377,0.99273,0.79372,0.85772,0.27601,0.00684,0.00054272,0.00054272,0.00054272
94,3114.34,0.97588,0.42377,0.00508,0.98285,0.973,0.98968,0.79501,0.7988,0.27394,0.00591,0.00052688,0.00052688,0.00052688
95,3143.89,0.93404,0.39403,0.00494,0.98778,0.96914,0.98854,0.79382,0.8117,0.275,0.00603,0.00051104,0.00051104,0.00051104
96,3172.82,0.94857,0.42371,0.00519,0.99682,0.96607,0.98794,0.80659,0.80896,0.28346,0.00636,0.0004952,0.0004952,0.0004952
97,3201.88,0.97085,0.41781,0.00548,0.98245,0.97531,0.98875,0.79285,0.83736,0.2876,0.00645,0.00047936,0.00047936,0.00047936
98,3231.2,0.99276,0.42985,0.00567,0.98895,0.96704,0.99162,0.79028,0.83165,0.29402,0.0069,0.00046352,0.00046352,0.00046352
99,3260.55,0.98188,0.42871,0.00562,0.99207,0.96566,0.98749,0.80092,0.79921,0.28885,0.00667,0.00044768,0.00044768,0.00044768
100,3289.76,0.96529,0.41203,0.00545,0.99129,0.97068,0.98606,0.79166,0.81476,0.273,0.00614,0.00043184,0.00043184,0.00043184
101,3318.46,0.94129,0.39898,0.00507,0.98584,0.96605,0.99091,0.79458,0.81126,0.27447,0.00651,0.000416,0.000416,0.000416
102,3347.8,0.93303,0.38875,0.00492,0.99088,0.95833,0.98698,0.79869,0.79827,0.27718,0.00607,0.00040016,0.00040016,0.00040016
103,3376.55,0.93822,0.41426,0.00522,0.99216,0.96451,0.98692,0.80765,0.79027,0.28472,0.00628,0.00038432,0.00038432,0.00038432
104,3406.42,0.92824,0.40727,0.00498,0.97676,0.97068,0.98704,0.79861,0.7661,0.28305,0.00581,0.00036848,0.00036848,0.00036848
105,3435.72,0.92268,0.40012,0.00521,0.98694,0.96605,0.98807,0.80507,0.80771,0.27722,0.00621,0.00035264,0.00035264,0.00035264
106,3464.89,0.92742,0.40041,0.00525,0.99531,0.96759,0.99186,0.80251,0.78937,0.25493,0.00602,0.0003368,0.0003368,0.0003368
